Date,User,Message
2023-03-22 00:10:16,"뿌까","왜"
2023-03-22 00:10:16,"원상이","이모티콘"
2023-03-22 00:10:21,"뿌까","디진다"
2023-03-22 00:10:25,"뿌까","가 아니라"
2023-03-22 00:10:26,"뿌까","왜용"
2023-03-22 00:10:27,"원상이","아 저언니"
2023-03-22 00:10:28,"뿌까","형님"
2023-03-22 00:10:29,"원상이","눈치업이"
2023-03-22 00:10:31,"원상이","왓어"
2023-03-22 00:10:34,"뿌까"," ㅠ ㅠ ㅠ"
2023-03-22 00:10:34,"원상이","이모티콘"
2023-03-22 00:10:35,"뿌까","시발"
2023-03-22 00:10:39,"뿌까","아냐"
2023-03-22 00:10:42,"뿌까","나 재밋다고 좋대"
2023-03-22 00:10:48,"뿌까","걍 가서 음담 패설여기서"
2023-03-22 00:10:48,"원상이","뿌까"
2023-03-22 00:10:50,"원상이","재믹어서"
2023-03-22 00:10:53,"뿌까","하는가 1/10 만 해주면댐"
2023-03-22 00:10:56,"원상이","가면 좋아할듯"
2023-03-22 00:10:58,"원상이","ㄷㄷㄷㄷㄷ"
2023-03-22 00:10:59,"원상이","하긴"
2023-03-22 00:11:03,"원상이","여기 미쳣지"
2023-03-22 00:11:05,"뿌까","ㅇㅇ"
2023-03-22 00:11:07,"원상이","니가 거기선"
2023-03-22 00:11:08,"뿌까","여기 그대류 하면 안댐"
2023-03-22 00:11:11,"원상이","다슬이고 경연개이고"
2023-03-22 00:11:13,"원상이","되는거임"
2023-03-22 00:11:16,"뿌까","ㅋㅋㅋ ㅋ ㅋ ㅋ ㅋㅋㅋㅋㅋㅋ"
2023-03-22 00:11:19,"유지수","ㅣㅋㅋㅋ"
2023-03-22 00:11:21,"Yeon","진짜"
2023-03-22 00:11:23,"Yeon"," 더파민"
2023-03-22 00:11:25,"유지수","나도 어디가서 드러운 농담으로 지지않앗는데"
2023-03-22 00:11:27,"다슬","머"
2023-03-22 00:11:32,"유지수","연언니랑 다슬언니랑 같이 만나면"
2023-03-22 00:11:33,"뿌까","ㅋㅋㅋㅋㅋㅋㅋ"
2023-03-22 00:11:35,"유지수","최약체됨"
2023-03-22 00:11:35,"원상이","뭐가 뭐야"
2023-03-22 00:11:39,"원상이","진짜"
2023-03-22 00:11:41,"원상이","희왕이"
2023-03-22 00:11:42,"Yeon","지리겟다"
2023-03-22 00:11:43,"뿌까","배고팡"
2023-03-22 00:11:44,"뿌까","이모티콘"
2023-03-22 00:11:46,"원상이","어쩔줄몰라서"
2023-03-22 00:11:48,"유지수","진짜 내친구들 사이에서 젤 음탕했는데 ㄷㄷ;;"
2023-03-22 00:11:48,"원상이","쳐다만 보는거"
2023-03-22 00:11:51,"원상이","넘 웃겻음"
2023-03-22 00:12:01,"원상이","얘도 어디가선"
2023-03-22 00:12:04,"원상이","또라이일텐데"
2023-03-22 00:12:06,"유지수","친구들이 날 보고 이런 느낌이엇겠구나"
2023-03-22 00:12:12,"다슬","나도 밖이라 참은거야"
2023-03-22 00:12:19,"원상이","ㄷㄷㄷㄷㄷㄷㄷ"
2023-03-22 00:12:20,"원상이","담엔"
2023-03-22 00:12:27,"원상이","룸으로 가자"
2023-03-22 00:12:34,"뿌까","룸섹스"
2023-03-22 00:12:36,"뿌까","안돼"
2023-03-22 00:12:39,"뿌까","나 바지 내려버렷"
2023-03-22 00:12:40,"유지수","누가 호빠좀 가봐"
2023-03-22 00:12:41,"원상이","저번처럼"
2023-03-22 00:12:43,"유지수","나ㅜ진자 너무궁금해"
2023-03-22 00:12:44,"뿌까","돈 아까움"
2023-03-22 00:12:45,"원상이","민정이를"
2023-03-22 00:12:45,"뿌까","호빠"
2023-03-22 00:12:48,"Yeon","호빠"
2023-03-22 00:12:50,"Yeon","돈아까워"
2023-03-22 00:12:50,"원상이","다슬이랑 경연게이"
2023-03-22 00:12:51,"다슬","그럼 님 고추로 폭탄주 타야됨"
2023-03-22 00:12:52,"뿌까","돈 줫는데"
2023-03-22 00:12:53,"원상이","사이에 앉히고"
2023-03-22 00:12:56,"원상이","ㅗ"
2023-03-22 00:13:00,"뿌까","제대로 서비스 안 해주면 ㅈ같을듯"
2023-03-22 00:13:02,"뿌까","차라리 토닥이를"
2023-03-22 00:13:05,"유지수","진짜 그안에서 키스하고 보빨하고 다하는지"
2023-03-22 00:13:05,"뿌까","불러서 마사지를 받아"
2023-03-22 00:13:08,"유지수","빨가벗고 노는지"
2023-03-22 00:13:20,"유지수","와꾸 어떤지"
2023-03-22 00:13:23,"Yeon","젖꼭지 색"
2023-03-22 00:13:26,"Yeon","보여달라니까"
2023-03-22 00:13:30,"Yeon","애가 경멸하더니"
2023-03-22 00:13:32,"Yeon","튀엇어"
2023-03-22 00:13:32,"뿌까","ㅋㅋㅋ"
2023-03-22 00:13:36,"뿌까","개진상 손님"
2023-03-22 00:13:36,"원상이","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2023-03-22 00:13:36,"유지수","와 언니 호빠가봣어??"
2023-03-22 00:13:38,"뿌까","돈 안주고 "
2023-03-22 00:13:39,"뿌까","말함? "
2023-03-22 00:13:47,"유지수","내 버킷리스트야 호빠가는거"
2023-03-22 00:13:49,"유지수","어디가서 절대말못함"
2023-03-22 00:13:54,"Yeon","뭐그딴게"
2023-03-22 00:13:56,"Yeon","버킷이야"
2023-03-22 00:13:58,"Yeon","자살해"
2023-03-22 00:13:58,"뿌까","ㅋㅋㅋ ㅋ  ㅋㅋ"
2023-03-22 00:13:59,"뿌까","지수야"
2023-03-22 00:14:00,"유지수","언니 가봣어???"
2023-03-22 00:14:01,"뿌까","나랑 가보자"
2023-03-22 00:14:04,"원상이","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2023-03-22 00:14:04,"유지수","ㅠ 좋겟다"
2023-03-22 00:14:06,"유지수","ㄷㄷ 좋아"
2023-03-22 00:14:08,"원상이","원묵이한테"
2023-03-22 00:14:11,"원상이","허락 맡고 가봐"
2023-03-22 00:14:12,"뿌까","나 취업하묜"
2023-03-22 00:14:14,"뿌까","안돼"
